station_id,date_time,parameter,value,unit,depth,depth_unit
NERRS_elksmwq,2021-09-14 06:45:00-07:00,salinity,33.7,PSU,4,ft
PMELCO2_kilonalu,2008-08-27 05:16:00-07:00,co2,391.5,ppm,-3,ft
PMELCO2_whots,2021-09-07 20:17:00-07:00,pH,8.043,,-3,ft
PMELCO2_alawai,2011-06-27 20:17:00-07:00,co2,404.0,ppm,-3,ft
PMELCO2_whots,2013-08-14 14:17:00-07:00,co2,408.8,ppm,-3,ft
PMELCO2_kilonalu,2014-04-20 11:17:00-07:00,co2,380.8,ppm,-3,ft
CARLSBD_Aquafarm1,2019-11-03 10:00:25-08:00,salinity,33.5766,PSU,-15,ft
PMELCO2_cce2,2015-07-13 11:17:00-07:00,co2,334.5,ppm,-3,ft
PMELCO2_kaneohe,2015-03-10 05:17:00-07:00,water_temperature,73.238,°F,-3,ft
PMELCO2_whots,2011-01-24 16:17:00-08:00,co2,368.4,ppm,-3,ft
PMELCO2_crimp,2017-03-04 16:17:00-08:00,co2,420.6,ppm,-3,ft
PMELCO2_cce1,2013-10-12 11:17:00-07:00,salinity,33.49,PSU,-3,ft
NERRS_tjroswq,2021-10-04 19:15:00-07:00,water_temperature,67.82,°F,5,ft
PMELCO2_cce1,2017-01-13 07:17:00-08:00,co2,371.0,ppm,-3,ft
PMELCO2_cce2,2015-08-23 23:17:00-07:00,co2,333.2,ppm,-3,ft
NERRS_tjroswq,2021-10-12 11:30:00-07:00,water_temperature,62.24,°F,5,ft
KC_SEAQYSI,2021-09-11 12:45:00-07:00,water_temperature,55.5944,°F,-33,ft
NERRS_soswiwq,2021-10-28 15:15:00-07:00,pH,7.6,,-5,ft
PMELCO2_crimp,2009-10-24 06:17:00-07:00,salinity,35.09,PSU,-3,ft
NERRS_pdbbywq,2021-09-03 15:30:00-07:00,oxygen_saturation,103.5,%,-12,ft
PMELCO2_alawai,2018-10-20 17:17:00-07:00,water_temperature,81.968,°F,-3,ft
PMELCO2_crimp,2011-02-13 19:17:00-08:00,co2,293.1,ppm,-3,ft
NERRS_soswiwq,2021-10-30 04:30:00-07:00,oxygen_saturation,82.6,%,-2,ft
PMELCO2_cce1,2009-01-11 16:17:00-08:00,salinity,33.14,PSU,-3,ft
NERRS_pdbbpwq,2021-10-19 23:30:00-07:00,pH,7.8,,-5,ft
NERRS_sfbgcwq,2021-10-28 14:30:00-07:00,oxygen_saturation,13.9,%,-20,ft
PMELCO2_crimp,2019-04-21 08:17:00-07:00,salinity,34.69,PSU,-3,ft
PMELCO2_whots,2014-11-23 22:17:00-08:00,co2,400.0,ppm,-3,ft
NERRS_tjroswq,2021-10-21 21:15:00-07:00,oxygen_saturation,74.3,%,4,ft
NERRS_pdbbywq,2021-10-04 19:45:00-07:00,water_temperature,53.24,°F,-11,ft
PMELCO2_crimp,2009-12-18 07:17:00-08:00,salinity,34.98,PSU,-3,ft
PMELCO2_crimp,2013-08-25 02:17:00-07:00,co2,508.5,ppm,-3,ft
PMELCO2_crimp,2014-10-21 11:17:00-07:00,co2,646.3,ppm,-3,ft
PMELCO2_cce1,2012-09-14 14:17:00-07:00,co2,385.1,ppm,-3,ft
KC_SEAQYSI,2021-10-04 20:00:00-07:00,oxygen_saturation,65.3,%,-33,ft
PMELCO2_cce2,2020-12-13 16:17:00-08:00,pH,8.001,,-3,ft
PMELCO2_alawai,2020-06-22 05:17:00-07:00,co2,443.7,ppm,-3,ft
NERRS_elkapwq,2021-09-03 00:45:00-07:00,salinity,35.0,PSU,5,ft
PMELCO2_cce2,2016-08-24 02:17:00-07:00,co2,446.4,ppm,-3,ft
NERRS_elksmwq,2021-10-19 18:00:00-07:00,oxygen_saturation,109.2,%,2,ft
PMELCO2_cce2,2017-11-03 14:17:00-07:00,water_temperature,62.924,°F,-3,ft
PMELCO2_crimp,2021-03-05 07:17:00-08:00,pH,7.924,,-3,ft
PMELCO2_whots,2016-08-17 20:17:00-07:00,pH,7.979,,-3,ft
CARLSBD_Aquafarm1,2019-09-04 18:00:25-07:00,water_temperature,75.9137,°F,-15,ft
PMELCO2_kaneohe,2013-09-02 14:17:00-07:00,pH,8.009,,-3,ft
PMELCO2_kaneohe,2021-02-15 16:17:00-08:00,co2,420.2,ppm,-3,ft
PMELCO2_crimp,2020-02-10 07:17:00-08:00,co2,449.1,ppm,-3,ft
NERRS_pdbbywq,2021-10-12 10:00:00-07:00,water_temperature,50.9,°F,-12,ft
PMELCO2_crimp,2014-03-10 17:17:00-07:00,water_temperature,75.524,°F,-3,ft
NERRS_pdbbpwq,2021-09-14 23:30:00-07:00,salinity,30.5,PSU,-10,ft
PMELCO2_whots,2020-01-03 19:17:00-08:00,salinity,34.74,PSU,-3,ft
NERRS_sfbsmwq,2021-10-18 16:00:00-07:00,oxygen_concentration,1.2,mg/L,-26,ft
PMELCO2_crimp,2009-08-21 04:17:00-07:00,water_temperature,78.584,°F,-3,ft
PMELCO2_crimp,2013-01-24 16:17:00-08:00,salinity,35.16,PSU,-3,ft
PMELCO2_kaneohe,2015-03-10 23:17:00-07:00,salinity,35.23,PSU,-3,ft
NERRS_sfbsmwq,2021-09-04 16:45:00-07:00,pH,7.6,,-7,ft
NERRS_tjroswq,2021-10-14 23:00:00-07:00,oxygen_concentration,4.4,mg/L,3,ft
NERRS_elkvmwq,2021-09-26 16:00:00-07:00,pH,8.3,,5,ft
PMELCO2_whots,2019-10-01 17:17:00-07:00,co2,427.3,ppm,-3,ft
PMELCO2_whots,2017-07-07 08:17:00-07:00,water_temperature,79.898,°F,-3,ft
PMELCO2_crimp,2018-06-22 05:17:00-07:00,salinity,34.74,PSU,-3,ft
PMELCO2_alawai,2020-08-26 08:17:00-07:00,water_temperature,81.302,°F,-3,ft
NERRS_pdbbpwq,2021-10-28 07:15:00-07:00,oxygen_concentration,8.6,mg/L,-6,ft
NERRS_elkapwq,2021-10-13 23:15:00-07:00,oxygen_saturation,47.9,%,5,ft
PMELCO2_cce2,2016-06-22 23:17:00-07:00,co2,449.0,ppm,-3,ft
PMELCO2_cce1,2017-12-03 16:17:00-08:00,co2,381.7,ppm,-3,ft
PMELCO2_cce2,2010-09-30 17:17:00-07:00,salinity,33.13,PSU,-3,ft
PMELCO2_whots,2012-06-27 13:47:00-07:00,salinity,35.2,PSU,-3,ft
NERRS_sfbccwq,2021-09-15 23:45:00-07:00,oxygen_concentration,6.8,mg/L,-3,ft
PMELCO2_cce2,2014-07-18 17:17:00-07:00,pH,8.008,,-3,ft
PMELCO2_whots,2015-02-22 07:17:00-08:00,co2,402.9,ppm,-3,ft
NERRS_soswiwq,2021-09-16 10:30:00-07:00,salinity,31.2,PSU,-6,ft
NERRS_sfbsmwq,2021-09-13 07:15:00-07:00,water_temperature,70.52,°F,-8,ft
PMELCO2_whots,2020-07-06 11:17:00-07:00,water_temperature,79.16,°F,-3,ft
PMELCO2_cce2,2016-07-05 20:17:00-07:00,water_temperature,60.548,°F,-3,ft
PMELCO2_whots,2015-06-06 11:17:00-07:00,co2,405.9,ppm,-3,ft
PMELCO2_cce2,2014-02-03 22:17:00-08:00,water_temperature,56.75,°F,-3,ft
NERRS_tjroswq,2021-09-27 19:00:00-07:00,salinity,36.3,PSU,4,ft
PMELCO2_crimp,2009-05-18 23:16:00-07:00,co2,448.1,ppm,-3,ft
NERRS_sfbccwq,2021-10-06 23:30:00-07:00,oxygen_saturation,1.6,%,-23,ft
PMELCO2_whots,2011-10-10 17:17:00-07:00,salinity,35.33,PSU,-3,ft
PMELCO2_crimp,2008-11-28 22:16:00-08:00,water_temperature,76.046,°F,-3,ft
PMELCO2_crimp,2011-02-16 13:17:00-08:00,water_temperature,75.398,°F,-3,ft
PMELCO2_cce2,2011-01-03 13:17:00-08:00,salinity,32.79,PSU,-3,ft
PMELCO2_whots,2018-07-28 08:17:00-07:00,salinity,35.16,PSU,-3,ft
PMELCO2_alawai,2010-08-24 23:16:00-07:00,co2,378.3,ppm,-3,ft
PMELCO2_whots,2017-09-01 17:17:00-07:00,co2,419.2,ppm,-3,ft
PMELCO2_whots,2007-10-29 08:16:00-07:00,water_temperature,78.296,°F,-3,ft
KC_SEAQYSI,2021-09-13 09:45:00-07:00,water_temperature,55.724,°F,-33,ft
PMELCO2_whots,2018-03-30 20:17:00-07:00,salinity,35.24,PSU,-3,ft
NERRS_soswiwq,2021-09-03 01:15:00-07:00,water_temperature,66.02,°F,-4,ft
PMELCO2_crimp,2019-04-04 14:17:00-07:00,salinity,34.44,PSU,-3,ft
NERRS_pdbbpwq,2021-09-28 17:30:00-07:00,oxygen_concentration,8.3,mg/L,-10,ft
NERRS_tjroswq,2021-09-15 01:30:00-07:00,pH,6.9,,3,ft
PMELCO2_cce1,2019-12-20 07:17:00-08:00,water_temperature,57.722,°F,-3,ft
PMELCO2_cce2,2019-12-31 01:17:00-08:00,salinity,33.4,PSU,-3,ft
PMELCO2_cce1,2017-11-12 16:17:00-08:00,co2,376.1,ppm,-3,ft
NERRS_sfbsmwq,2021-09-28 20:15:00-07:00,oxygen_saturation,12.6,%,-27,ft
PMELCO2_whots,2018-02-07 07:17:00-08:00,co2,375.4,ppm,-3,ft
PMELCO2_crimp,2018-10-23 17:17:00-07:00,salinity,34.25,PSU,-3,ft
NERRS_pdbbywq,2021-10-09 21:15:00-07:00,water_temperature,51.98,°F,-11,ft
